Provinsi/Kabupaten/Kota/Indonesia,,,,,,,,,,
,,,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Kota Sukabumi,9819,10188,10609,11204,10999,10942,11229,11799,12252,12692
Kota Bandung,15805,16033,16630,17254,16887,16996,17639,18236,18795,19280
Kota Cirebon,10824,11100,11397,11930,11800,11810,12087,12506,12869,13341
Kota Bekasi,15236,15378,15755,16157,15776,15903,16239,16479,16775,17216
Kota Depok,14560,14727,15262,15696,15281,15420,15926,16279,16640,17279
Kota Cimahi,11141,11353,11921,12448,12025,12019,12500,12883,13278,13697
Kota Tasikmalaya,9145,9497,9855,10414,10263,10213,10578,11063,11431,11849
Kota Banjar,9815,9987,10329,10705,10535,10476,10967,11356,11811,12222
JAWA TENGAH,10153,10377,10777,11102,10930,11034,11377,11835,12276,12746
Cilacap,9677,9896,10274,10639,10440,10534,10904,11432,11868,12371
Banyumas,10554,10713,11240,11703,11448,11546,11905,12492,12960,13301
Purbalingga,9159,9340,9786,10131,9914,10032,10277,10964,11343,11949
Banjarnegara,8400,8630,9160,9547,9263,9407,9776,10226,10595,10992
Kebumen,8276,8446,8757,9066,8901,9028,9282,9734,10176,10658
Purworejo,9497,9601,10048,10342,10163,10275,10671,11110,11584,12085
Wonosobo,9877,9969,10503,10871,10621,10760,11108,11577,11980,12552
Magelang,8501,8627,9025,9387,9301,9440,10011,10493,10926,11343
Boyolali,12192,12262,12758,13079,12910,13031,13250,13716,14195,14594
Klaten,11227,11369,11738,12074,11921,12017,12522,12968,13513,13948
Sukoharjo,10452,10765,11100,11557,11325,11428,11841,12319,12758,13238
Wonogiri,8589,8765,9117,9426,9286,9429,9780,10283,10634,10938
Karanganyar,10722,10933,11223,11569,11428,11509,11798,12260,12732,13244
Sragen,11688,12041,12391,12720,12589,12679,13052,13439,13890,14461
Grobogan,9487,9716,10097,10350,10221,10294,10610,11083,11548,11991
Blora,8846,9065,9385,9795,9571,9669,10067,10541,10926,11240
Rembang,9453,9736,10191,10551,10328,10519,10937,11399,11830,12189
Pati,9548,9813,10190,10660,10390,10506,10948,11385,11829,12186
Kudus,10348,10639,10979,11318,11160,11272,11609,12088,12533,12842
Jepara,9695,9745,10169,10609,10343,10536,10913,11306,11729,12242
Demak,9377,9544,10001,10344,10128,10248,10698,11166,11591,12014
Semarang,11102,11389,11807,12116,11966,12070,12448,12943,13377,13923
Temanggung,8593,8794,9142,9489,9343,9408,9773,10108,10519,10995
Kendal,10631,10863,11257,11597,11425,11608,11999,12755,13277,13721
Batang,8568,8805,9203,9573,9431,9524,9972,10470,10919,11424
Pekalongan,9300,9702,10221,10508,10312,10409,10707,11297,11701,12185
Pemalang,7447,7785,8186,8546,8461,8573,8994,9587,10017,10521
Tegal,8709,9136,9433,9798,9612,9700,10020,10537,10972,11498
Brebes,9148,9554,9890,10238,10058,10152,10514,10993,11389,11853
Kota Magelang,11090,11525,11994,12514,12210,12349,12816,13175,13619,14023
Kota Surakarta,13900,13986,14528,15049,14761,14911,15463,15870,16291,16883
Kota Salatiga,14811,14921,15464,15944,15699,15843,16351,16650,17096,17523
Kota Semarang,13909,14334,14895,15550,15243,15425,16047,16420,16990,17402
Kota Pekalongan,11721,11800,12312,12680,12467,12598,13158,14056,14547,14988
Kota Tegal,11849,12283,12830,13250,12999,13143,13455,14013,14358,14801
D I YOGYAKARTA,13229,13521,13946,14394,14015,14111,14482,14924,15361,15855
Kulon Progo,8938,9277,9698,10275,10041,10069,10511,10723,10990,11499
Bantul,14880,14995,15386,15636,15517,15545,16002,16524,16851,17240
Gunung Kidul,8467,8788,9163,9612,9486,9505,9874,10065,10630,11006
Sleman,14921,15365,15844,16434,15926,16060,16438,16976,17586,18231
Kota Yogyakarta,17770,18005,18629,19125,18678,18801,19319,19920,20603,21104
JAWA TIMUR,10715,10973,11380,11739,11601,11707,11992,12421,12852,13509
Pacitan,8048,8288,8527,9033,8796,8887,9184,9681,10099,10756
Ponorogo,8908,9107,9426,9883,9670,9851,10199,10658,11065,11561
Trenggalek,8829,9034,9400,9865,9630,9743,10042,10465,10872,11322
Tulungagung,9881,10114,10455,10891,10705,10807,11162,11565,11966,12505
Blitar,9467,9828,10327,10861,10654,10757,11001,11499,12020,12633
Kediri,10140,10326,10853,11146,11000,11127,11565,11952,12388,12968
Malang,9018,9356,9844,10270,10028,10163,10326,10791,11190,11681
Lumajang,8311,8503,8931,9274,9088,9203,9466,9720,10124,10603
Jember,8409,8698,9090,9525,9294,9410,9840,10277,10700,11147
Banyuwangi,11171,11438,11828,12264,12140,12217,12320,12820,13320,13963
Bondowoso,10007,10086,10429,10665,10610,10690,10851,11255,11689,12192
Situbondo,9106,9178,9692,10097,9857,9996,10263,10702,11216,11713
Probolinggo,10170,10239,10700,10972,10859,10969,11254,11756,12258,12749
Pasuruan,9198,9556,9933,10381,10164,10297,10726,11239,11617,12117
Sidoarjo,13320,13710,14168,14609,14458,14578,14808,15311,15710,16366
Mojokerto,11798,12240,12454,12860,12779,12844,13051,13467,13903,14525
Jombang,10237,10560,10999,11533,11261,11394,11579,11999,12454,12976
Nganjuk,11451,11560,11768,12200,12130,12172,12349,12821,13376,14068
Madiun,10904,11012,11351,11650,11574,11658,11848,12259,12668,13325
Magetan,10988,11288,11539,11779,11776,11833,12031,12495,12915,13515
Ngawi,10810,10899,11187,11468,11418,11459,11563,11897,12414,12837
Bojonegoro,9420,9553,9926,10265,10121,10221,10323,10776,11204,11796
Tuban,9353,9540,10048,10499,10238,10380,10703,11174,11579,12117
Lamongan,10252,10664,11108,11572,11456,11510,11648,12019,12419,12963
Gresik,11961,12375,12845,13295,13246,13280,13384,13870,14356,14983
Bangkalan,8030,8192,8393,8718,8610,8673,8971,9438,9841,10265
Sampang,8096,8352,8569,8760,8739,8790,8944,9363,9782,10030
Pamekasan,7975,8311,8536,8834,8739,8804,8967,9420,9811,10206
Sumenep,7846,8316,8722,9082,8888,9000,9388,9807,10156,10631
Kota Kediri,11070,11550,11976,12440,12239,12359,12762,13276,13670,14284
Kota Blitar,12499,12910,13391,13851,13733,13816,14058,14548,14933,15586
Kota Malang,15732,15939,16158,16666,16593,16663,16897,17222,17791,18596
Kota Probolinggo,10792,11390,11796,12280,12180,12245,12571,12999,13405,14134
Kota Pasuruan,12295,12557,12931,13393,13281,13354,13803,14250,14664,15289
Kota Mojokerto,12449,12804,13155,13710,13499,13610,14054,14422,14842,15374
Kota Madiun,15300,15415,15616,16040,16018,16095,16503,17115,17518,18173
Kota Surabaya,16295,16726,17157,17854,17755,17862,18345,18977,19666,20679
Kota Batu,11772,12057,12466,12870,12824,12887,13094,13603,14253,14807
BANTEN,11469,11659,11994,12267,11964,12033,12216,12601,13097,13498
Pandeglang,8138,8358,8613,8719,8572,8635,8827,9151,9574,9923
Lebak,8308,8372,8634,8850,8690,8724,8854,9130,9631,10165
Tangerang,11863,11914,12179,12476,12203,12273,12427,12749,13254,13625
Serang,10317,10466,10693,10802,10665,10713,10916,11320,11767,12065
Kota Tangerang,13911,14104,14443,14860,14484,14575,14909,15377,15641,16058
Kota Cilegon,12326,12562,12900,13230,13010,13041,13185,13663,14294,14759
Kota Serang,12660,12914,13261,13418,13212,13281,13709,14088,14603,15250
Kota Tangerang Selatan,14972,15291,15672,15988,15667,15751,15997,16225,17028,17396
BALI,13279,13573,13886,14146,13929,13820,13942,14382,14920,15383
Jembrana,11343,11468,11666,11902,11790,11675,11915,12236,12638,13113
Tabanan,13800,13923,14245,14608,14494,14326,14475,14832,15297,15752
Badung,16567,17063,17325,17628,17503,17327,17445,17915,18556,19004
Gianyar,13766,14222,14376,14623,14544,14391,14630,15047,15577,16244
Klungkung,10852,11005,11318,11484,11376,11287,11500,11760,12358,13023
Bangli,10819,10956,11160,11369,11268,11201,11424,11670,12148,12447
Karangasem,9690,9833,10050,10302,10237,10175,10278,10753,11176,11676
Buleleng,12814,12995,13235,13780,13463,13362,13529,13987,14377,14827
Kota Denpasar,19084,19364,19698,19992,19723,19598,19850,20128,20763,21185
NUSA TENGGARA BARAT,9575,9877,10284,10640,10351,10377,10681,11095,11606,11922
Lombok Barat,10924,11048,11367,11647,11304,11334,11754,11960,12431,12544
Lombok Tengah,9079,9319,9796,10196,9952,9962,10470,10948,11531,11870
Lombok Timur,8449,8805,9268,9639,9409,9450,9631,10152,10571,10851
Sumbawa,8070,8584,9028,9336,9146,9167,9598,9981,10349,10716
Dompu,7819,8351,8743,9027,8889,8899,9203,9404,9971,10230
Bima,7585,8006,8354,8631,8468,8495,8699,8963,9418,9821
Sumbawa Barat,10528,11066,11496,11766,11536,11548,11987,12214,12841,12983
Lombok Utara,8155,8637,8888,9279,9006,9057,9433,9785,10272,10502
Kota Mataram,13733,14316,14797,15426,14968,14999,15416,15894,16514,16851
Kota Bima,9930,10458,10825,11334,11105,11135,11395,11740,12362,12623
NUSA TENGGARA TIMUR,7122,7350,7566,7769,7598,7554,7877,8248,8534,8735
Sumba Barat,6914,6997,7275,7586,7321,7307,7627,7993,8243,8530
Sumba Timur,9004,9093,9351,9640,9406,9354,9641,10008,10280,10619
Kupang,7217,7301,7472,7698,7526,7476,7776,8220,8508,8745
Timor Tengah Selatan,6360,6676,6855,6955,6861,6839,7118,7450,7755,7951
Timor Tengah Utara,5930,6164,6357,6479,6364,6324,6559,6889,7242,7364
Belu,7199,7251,7403,7677,7479,7431,7593,7907,8159,8354
Alor,6468,6553,6750,6958,6786,6751,7198,7565,7806,8022
Lembata,7010,7084,7253,7474,7305,7257,7622,7962,8238,8397
Flores Timur,7237,7442,7573,7770,7631,7578,7918,8223,8505,8700
Sikka,7740,7855,7958,8313,8081,8021,8362,8678,9019,9219
Ende,8801,8841,8995,9315,9094,9027,9413,9739,10009,10126
Ngada,8195,8649,8857,8961,8865,8819,8997,9350,9585,9827
Manggarai,7008,7056,7175,7276,7203,7133,7580,7903,8204,8423
Rote Ndao,6110,6320,6484,6720,6539,6503,6719,7061,7365,7652
Manggarai Barat,7149,7269,7426,7602,7468,7410,7636,7913,8195,8351
Sumba Tengah,5907,5946,6093,6198,6108,6061,6288,6484,6743,6965
Sumba Barat Daya,6079,6134,6298,6594,6372,6355,6779,7080,7358,7588
Nagekeo,8054,8119,8219,8469,8309,8254,8433,8706,8986,9213
Manggarai Timur,5396,5643,5809,5919,5818,5780,6145,6276,6561,6745
Sabu Raijua,4923,5120,5245,5354,5265,5256,5558,5899,6207,6452
Malaka,5658,5726,5894,5998,5901,5861,6250,6569,6879,7067
Kota Kupang,12986,13028,13199,13592,13337,13218,13513,13762,14001,14262
KALIMANTAN BARAT,8348,8472,8860,9055,8930,8974,9355,9810,10321,10689
Sambas,9311,9403,9774,9924,9858,9828,10462,11057,11538,11939
Bengkayang,8588,8640,9072,9182,9102,9193,9484,9859,10208,10462
Landak,6737,6931,7183,7403,7357,7431,7969,8423,8868,9104
Mempawah,7270,7358,7779,7913,7801,7758,8049,8690,9163,9518
Sanggau,7729,7828,8126,8410,8245,8328,8782,9213,9728,9990
Ketapang,8430,8475,8988,9259,9163,9209,9426,9984,10472,10826
Sintang,8302,8343,8624,8823,8728,8708,8858,9128,9657,9993
Kapuas Hulu,6691,6883,7074,7206,7162,7168,7668,8055,8470,8765
