Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,RLS
2019,Sumatera Selatan,97.91,77.58,59.92,8.18
2019,Sumatera Utara,97.67,80.26,67.53,9.45
2020,Aceh,99.03,86.87,70.7,9.33
2020,Bali,96.84,87.26,73.29,8.95
2020,Banten,97.95,82.73,59.06,8.89
2020,Bengkulu,98.65,79.77,65.82,8.84
2020,Daerah Istimewa Yogyakarta,99.59,83.98,70.98,9.55
2020,Daerah Khusus Jakarta,98.05,82.47,60.42,11.13
2020,Gorontalo,98.5,70.68,57.86,7.82
2020,Jambi,99.11,79.93,61.38,8.55
2020,Jawa Barat,98.37,82.06,57.9,8.55
2020,Jawa Tengah,97.9,80.53,59.74,7.69
2020,Jawa Timur,97.99,83.53,62.24,7.78
2020,Kalimantan Barat,97.36,67.42,51.7,7.37
2020,Kalimantan Selatan,98.76,75.51,58.25,8.29
2020,Kalimantan Tengah,99.11,78.45,54.08,8.59
2020,Kalimantan Timur,98.44,81.28,69.0,9.77
2020,Kalimantan Utara,93.46,79.09,64.75,9.0
2020,Kepulauan Bangka Belitung,97.73,74.59,58.82,8.06
2020,Kepulauan Riau,99.16,86.47,73.45,10.12
2020,Lampung,99.16,81.17,59.58,8.05
2020,Maluku,96.85,75.15,64.81,9.93
2020,Maluku Utara,97.21,76.9,64.25,9.04
2020,Nusa Tenggara Barat,98.78,84.98,66.81,7.31
2020,Nusa Tenggara Timur,96.09,69.82,54.09,7.63
2020,Papua,79.34,57.95,44.73,6.69
2020,Papua Barat,93.88,70.51,63.62,7.6
2020,Papua Barat Daya,92.69,70.48,52.58,7.9
2020,Papua Pegunungan,73.33,51.51,33.74,3.72
2020,Papua Selatan,86.12,53.07,39.35,7.89
2020,Papua Tengah,71.03,49.68,29.46,5.63
2020,Riau,97.73,80.48,64.01,9.14
2020,Sulawesi Barat,95.8,69.98,58.05,7.89
2020,Sulawesi Selatan,97.98,76.17,60.32,8.38
