Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,PPK,RLS
2021,Sumatera Barat,98.82,78.75,68.99,10790.0,9.07
2021,Sumatera Selatan,98.0,78.31,60.53,10662.0,8.3
2021,Sumatera Utara,97.69,81.13,67.99,10499.0,9.58
2022,Aceh,99.07,88.21,71.16,9963.0,9.44
2022,Bali,97.46,86.88,74.73,13942.0,9.39
2022,Banten,97.93,84.67,59.54,12216.0,9.13
2022,Bengkulu,98.6,80.25,66.61,10840.0,8.91
2022,Daerah Istimewa Yogyakarta,99.43,85.28,74.5,14482.0,9.75
2022,Daerah Khusus Jakarta,98.37,84.22,60.88,18927.0,11.31
2022,Gorontalo,98.74,71.66,58.47,10687.0,8.02
2022,Jambi,99.33,79.93,60.73,10871.0,8.68
2022,Jawa Barat,98.29,82.8,58.6,11277.0,8.78
2022,Jawa Tengah,98.39,81.02,61.17,11377.0,7.93
2022,Jawa Timur,98.09,83.8,62.1,11992.0,8.03
2022,Kalimantan Barat,97.52,68.32,51.87,9355.0,7.59
2022,Kalimantan Selatan,99.12,76.28,59.61,12469.0,8.46
2022,Kalimantan Tengah,99.11,78.75,55.69,11458.0,8.65
2022,Kalimantan Timur,98.45,82.65,69.1,12641.0,9.92
2022,Kalimantan Utara,93.69,79.38,65.65,9350.0,9.27
2022,Kepulauan Bangka Belitung,98.01,74.68,59.65,13358.0,8.11
2022,Kepulauan Riau,99.2,86.76,73.54,14469.0,10.37
2022,Lampung,99.29,82.07,61.96,10336.0,8.18
2022,Maluku,96.9,78.37,64.57,8876.0,10.19
2022,Maluku Utara,97.27,77.41,65.35,8398.0,9.24
2022,Nusa Tenggara Barat,98.83,86.05,67.61,10681.0,7.61
2022,Nusa Tenggara Timur,96.08,70.05,56.0,7877.0,7.7
2022,Papua,81.66,59.14,47.63,7146.0,7.02
2022,Papua Barat,94.31,71.38,63.66,8101.0,7.84
2022,Papua Barat Daya,93.3,72.34,55.03,8379.0,8.14
2022,Papua Pegunungan,73.94,53.37,36.19,5164.0,3.96
2022,Papua Selatan,86.73,54.93,41.8,9286.0,8.13
2022,Papua Tengah,71.64,51.54,31.91,7339.0,5.87
2022,Riau,97.8,80.43,63.87,11158.0,9.22
2022,Sulawesi Barat,95.81,70.34,60.24,9358.0,8.08
2022,Sulawesi Selatan,98.41,77.42,60.44,11430.0,8.63
2022,Sulawesi Tengah,93.25,75.63,65.72,9696.0,8.89
2022,Sulawesi Tenggara,98.27,77.77,64.11,9708.0,9.25
2022,Sulawesi Utara,95.44,76.11,63.3,11179.0,9.68
2022,Sumatera Barat,98.8,78.86,68.38,11130.0,9.18
2022,Sumatera Selatan,98.08,78.68,61.0,11109.0,8.37
2022,Sumatera Utara,98.0,81.84,68.27,10848.0,9.71
2023,Aceh,98.97,84.85,71.7,10334.0,9.55
2023,Bali,97.77,84.78,75.6,14382.0,9.45
2023,Banten,97.97,85.43,60.42,12601.0,9.15
2023,Bengkulu,98.61,81.08,67.09,11172.0,9.03
2023,Daerah Istimewa Yogyakarta,99.36,85.62,76.37,14924.0,9.83
2023,Daerah Khusus Jakarta,98.44,84.95,60.81,19373.0,11.45
2023,Gorontalo,98.69,73.55,60.18,11069.0,8.1
2023,Jambi,99.33,80.23,60.6,11160.0,8.81
2023,Jawa Barat,98.2,83.61,59.01,11695.0,8.83
2023,Jawa Tengah,98.46,81.56,61.46,11835.0,8.01
2023,Jawa Timur,98.04,83.91,62.59,12421.0,8.11
2023,Kalimantan Barat,97.7,70.85,54.76,9810.0,7.71
2023,Kalimantan Selatan,99.14,77.44,59.83,12953.0,8.55
